epoch	loss	acc	val_loss	val_acc
0	31.10815085434332	0.676829268292683	32.82978857665503	0.5525210084033614
1	29.59136362773616	0.6905487804878049	30.82203324902959	0.5514705882352942
2	27.72008021284894	0.6859756097560976	28.956903874373236	0.5514705882352942
3	25.928786789498677	0.6859756097560976	27.239223912984382	0.5514705882352942
4	24.83773278027046	0.6875	26.93042344806575	0.5514705882352942
5	24.658258577672445	0.6875	26.71864972795759	0.5546218487394958
6	24.49795013520776	0.6875	26.643661787529954	0.5493697478991597
7	24.314384204585377	0.6890243902439024	26.45146510981712	0.5514705882352942
8	24.263412871011873	0.6859756097560976	26.40477605226661	0.5525210084033614
9	24.221399539854467	0.6875	26.389046693048556	0.5525210084033614
10	24.181107916483064	0.6890243902439024	26.390261930577896	0.5514705882352942
11	24.1899698769174	0.6875	26.340697953680984	0.5535714285714286
12	24.155432887193633	0.6890243902439024	26.354623121373795	0.5525210084033614
13	24.22736479596394	0.6844512195121951	26.386874303096484	0.5504201680672269
14	24.15204455212849	0.6890243902439024	26.419127408195944	0.5483193277310925
15	24.199577145460175	0.6859756097560976	26.332866524447915	0.5535714285714286
